length_px,diameter_px,depth,ratio_pixel_length,ratio_pixel_diameter
291.0,73.0,1337.55,1.0498,1.058
303.0,69.0,1320.68,1.0498,1.058
284.0,76.0,1317.07,1.0498,1.058
302.94,77.0,1327.49,1.0498,1.058
284.0,76.0,1327.63,1.0433,1.0282
300.0,71.0,1329.58,1.0466,1.0429
310.0,75.0,1331.28,1.0498,1.058
314.0,73.0,1342.79,1.0433,1.0282
318.0,70.0,1333.17,1.0433,1.0282
303.0,69.0,1320.94,1.0433,1.0282
292.0,76.0,1335.62,1.0498,1.058
305.3,74.0,1328.48,1.0466,1.0429
311.0,74.0,1334.38,1.0433,1.0282
306.0,72.0,1339.13,1.0466,1.0429
303.0,74.0,1332.36,1.0433,1.0282
286.0,76.0,1329.78,1.0498,1.058
301.0,78.0,1335.24,1.0433,1.0282
298.0,75.0,1332.08,1.0433,1.0282
291.0,74.0,1333.88,1.0498,1.058
301.0,78.0,1322.43,1.0498,1.058
307.0,71.0,1323.64,1.0498,1.058
301.0,79.0,1337.81,1.0498,1.058
283.0,75.0,1314.61,1.0498,1.058
288.0,71.0,1329.92,1.0433,1.0282
310.0,73.32,1325.73,1.0433,1.0282
293.0,76.0,1336.44,1.0433,1.0282
310.0,73.0,1347.51,1.0433,1.0282
301.0,68.0,1336.89,1.0498,1.058
292.0,69.0,1318.44,1.0466,1.0429
303.0,72.0,1318.81,1.0498,1.058
299.0,72.0,1328.57,1.0498,1.058
306.0,72.0,1337.37,1.0433,1.0282
308.0,72.0,1328.46,1.0498,1.058
306.0,75.0,1324.34,1.0498,1.058
313.14,76.0,1333.03,1.0498,1.058
331.0,78.0,1328.65,1.0498,1.058
290.0,71.0,1326.65,1.0433,1.0282
290.0,75.0,1316.35,1.0433,1.0282
312.0,71.0,1344.98,1.0433,1.0282
302.0,71.0,1325.36,1.0433,1.0282
300.0,75.0,1330.4,1.0433,1.0282
295.0,70.0,1337.64,1.0433,1.0282
294.61,67.0,1315.73,1.0433,1.0282
307.0,74.0,1333.93,1.0433,1.0282
319.0,73.0,1327.57,1.0433,1.0282
291.91,74.0,1331.89,1.0433,1.0282
300.0,67.0,1325.87,1.0433,1.0282
299.0,69.0,1335.8,1.0433,1.0282
296.0,78.0,1325.5,1.0498,1.058
307.0,72.0,1324.29,1.0498,1.058
303.0,75.0,1329.55,1.0498,1.058
293.0,68.32,1320.75,1.0433,1.0282
307.0,66.0,1331.64,1.0433,1.0282
301.0,73.0,1327.66,1.0433,1.0282
307.92,76.0,1347.58,1.0498,1.058
297.0,73.0,1334.29,1.0498,1.058
311.0,69.0,1315.42,1.0433,1.0282
292.0,76.0,1327.73,1.0433,1.0282
295.0,70.0,1330.7,1.0433,1.0282
304.0,73.0,1348.88,1.0433,1.0282
303.0,75.0,1337.43,1.0433,1.0282
292.0,77.0,1321.51,1.0433,1.0282
294.0,79.0,1328.45,1.0498,1.058
298.0,78.0,1331.34,1.0433,1.0282
292.03,70.0,1324.86,1.0433,1.0282
297.0,73.0,1334.3,1.0433,1.0282
305.0,73.0,1343.15,1.0498,1.058
300.0,70.0,1318.09,1.0433,1.0282
297.0,70.0,1323.0,1.0433,1.0282
297.0,73.0,1333.69,1.0433,1.0282
298.0,75.3,1325.76,1.0498,1.058
290.0,73.0,1338.47,1.0433,1.0282
303.0,71.0,1325.95,1.0433,1.0282
314.0,75.0,1328.63,1.0498,1.058
297.0,75.0,1335.1,1.0498,1.058
303.0,71.0,1325.56,1.0498,1.058
293.0,74.0,1326.35,1.0498,1.058
297.0,77.0,1333.62,1.0498,1.058
315.0,73.0,1338.27,1.0433,1.0282
291.0,69.0,1328.13,1.0433,1.0282
295.0,75.05,1331.29,1.0498,1.058
287.0,74.0,1335.41,1.0433,1.0282
303.79,72.0,1343.39,1.0433,1.0282
284.0,76.0,1330.06,1.0433,1.0282
320.0,73.0,1334.07,1.0433,1.0282
300.0,70.0,1326.32,1.0498,1.058
295.0,70.0,1327.87,1.0498,1.058
283.0,74.0,1322.64,1.0433,1.0282
296.0,68.0,1340.41,1.0433,1.0282
291.0,74.11,1327.7,1.0433,1.0282
292.0,72.0,1328.49,1.0433,1.0282
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.4753,0.4591
301.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.4746,0.4591
302.0,65.0,590.0,0.4746,0.4591
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4534
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.4746,0.4534
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.4746,0.4562
301.0,66.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.4753,0.4591
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.4746,0.4562
302.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
